normInfX : 1.352259102332583
normInfY : 1.8175380415655664

 0.9084825751359866 0.3566792795969468 0.08709724759964965
 0.5389094958106317 0.31032813820210303 0.40033120725558347
Nmax : 55maj : 0.6150537436867676diff : 0.23878368990328325submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 56maj : 0.6105697126931642diff : 0.23429965890967985submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 57maj : 0.6102415129923476diff : 0.2339714592088633submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 58maj : 0.6076233284601924diff : 0.23135327467670808submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 59maj : 0.6057574819987444diff : 0.22948742821526003submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 60maj : 0.6054292822979279diff : 0.2291592285144436submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 61maj : 0.6048141714543258diff : 0.22854411767084148submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 62maj : 0.6009452513043245diff : 0.2246751975208402submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 63maj : 0.6006170516035081diff : 0.22434699782002376submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 64maj : 0.6002888519026915diff : 0.22401879811920722submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 65maj : 0.5969038597739343diff : 0.22063380599045002submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 66maj : 0.5961330206099047diff : 0.21986296682642037submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 67maj : 0.5958048209090883diff : 0.21953476712560394submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 68maj : 0.5954766212082716diff : 0.21920656742478728submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 69maj : 0.5940947027680679diff : 0.21782464898458354submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 70maj : 0.5913207899154849diff : 0.21505073613200054submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 71maj : 0.5912855457622014diff : 0.21501549197871705submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 72maj : 0.5909925902146684diff : 0.2147225364311841submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 73maj : 0.5906643905138518diff : 0.21439433673036745submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 74maj : 0.586508559221065diff : 0.2102385054375807submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 75maj : 0.5861843910876765diff : 0.20991433730419218submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 76maj : 0.5861803595202485diff : 0.20991030573676417submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 77maj : 0.585852159819432diff : 0.20958210603594762submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 78maj : 0.5855239601186155diff : 0.2092539063351312submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 79maj : 0.5833752340818099diff : 0.2071051802983256submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 80maj : 0.5816963285266452diff : 0.20542627474316089submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 81maj : 0.5813681288258287diff : 0.20509807504234434submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 82maj : 0.5810399291250121diff : 0.2047698753415278submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 83maj : 0.5807117294241957diff : 0.20444167564071136submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 84maj : 0.5805660770759434diff : 0.2042960232924591submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 85maj : 0.577756920070077diff : 0.20148686628659263submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 86maj : 0.5768840978322254diff : 0.20061404404874106submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 87maj : 0.5765558981314088diff : 0.2002858443479245submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 88maj : 0.5762276984305923diff : 0.19995764464710797submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 89maj : 0.5758994987297759diff : 0.19962944494629153submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 90maj : 0.571743667436989diff : 0.19547361365350469submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 91maj : 0.5714154677361725diff : 0.19514541395268814submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 92maj : 0.571087268035356diff : 0.1948172142518717submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 93maj : 0.5707590683345395diff : 0.19448901455105516submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 94maj : 0.5669314367425692diff : 0.19066138295908486submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 95maj : 0.5666032370417526diff : 0.1903331832582683submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 96maj : 0.5662750373409362diff : 0.19000498355745188submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 97maj : 0.5659468376401195diff : 0.18967678385663522submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 98maj : 0.5621192060481494diff : 0.18584915226466503submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
