Nmax : 93maj : 0.5637435710063348diff : 2.3661840529853873E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 94maj : 0.5637403356558554diff : 2.3338305481912514E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 95maj : 0.5637388422842102diff : 2.318896831740025E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 96maj : 0.5637350624313269diff : 2.281098302906459E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 97maj : 0.5637348582423355diff : 2.2790564129926416E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 98maj : 0.5637329591866135diff : 2.2600658557725417E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 99maj : 0.5637282665598468diff : 2.2131395881053173E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 100maj : 0.5637259175139969diff : 2.189649129606952E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 101maj : 0.5637205644391663diff : 2.136118381300678E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 102maj : 0.5637177130307371diff : 2.1076042970091802E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 103maj : 0.5637117556799228diff : 2.048030788865951E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 104maj : 0.5637083414646789diff : 2.0138886364262643E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 105maj : 0.5637060785342493diff : 1.9912593321302907E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 106maj : 0.5637033111893813diff : 1.9635858834510245E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 107maj : 0.5637018440509658diff : 1.9489144992956842E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 108maj : 0.5636977985066703diff : 1.908459056341183E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 109maj : 0.5636908332907284diff : 1.8388068969221738E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 110maj : 0.5636860798100918diff : 1.791272090555518E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 111maj : 0.5636826993802254diff : 1.757467791891898E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 112maj : 0.5636787271075848diff : 1.7177450654859427E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 113maj : 0.5636731809903747diff : 1.6622838933844086E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 114maj : 0.5636655291802024diff : 1.5857657916618084E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 115maj : 0.5636590976245134diff : 1.5214502347715708E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 116maj : 0.5636540348078075diff : 1.4708220677128736E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 117maj : 0.563651243157888diff : 1.4429055685172276E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 118maj : 0.5636438252505686diff : 1.3687264953232692E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 119maj : 0.5636358726609279diff : 1.2892005989162403E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 120maj : 0.5636290229135362diff : 1.220703125E-4 min : 0.5635069526010362submax : {0=[[0.880615234375, 0.880859375], [0.119140625, 0.119384765625]]}
Nmax : 121maj : 0.5636289467215598diff : 1.2198654957029653E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 122maj : 0.5636288153793632diff : 1.2185520737362232E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 123maj : 0.5636285863002192diff : 1.2162612822963492E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 124maj : 0.5636285262230936diff : 1.215660511040273E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 125maj : 0.5636283246201556diff : 1.2136444816601699E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 126maj : 0.5636279411441871diff : 1.2098097219759296E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 127maj : 0.5636275511349418diff : 1.2059096295224947E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 128maj : 0.5636273593671612diff : 1.2039919517170539E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 129maj : 0.5636270107460111diff : 1.2005057402153518E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 130maj : 0.5636264954206763diff : 1.1953524868679732E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 131maj : 0.5636257945960998diff : 1.1883442411031453E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 132maj : 0.56362538291689diff : 1.1842274490048155E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 133maj : 0.5636251579722519diff : 1.1819780026234294E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 134maj : 0.5636242921827104diff : 1.1733201072083865E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 135maj : 0.5636235392825124diff : 1.1657911052287417E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 136maj : 0.5636225029919344diff : 1.1554281994485827E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 137maj : 0.5636216398422653diff : 1.1467967027578574E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 138maj : 0.5636204265076851diff : 1.1346633569553344E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 139maj : 0.5636194601402937diff : 1.1249996830420272E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 140maj : 0.5636194212809251diff : 1.1246110893559091E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 141maj : 0.5636180622116833diff : 1.1110203969377785E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 142maj : 0.5636175484109924diff : 1.105882390028956E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 143maj : 0.5636170006633685diff : 1.1004049137897098E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 144maj : 0.5636154095834441diff : 1.0844941145460307E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 145maj : 0.5636142618962607diff : 1.0730172427120266E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 146maj : 0.5636124681002629diff : 1.0550792827335176E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 147maj : 0.5636112443217536diff : 1.0428414976404454E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 148maj : 0.5636096954329586diff : 1.0273526096904462E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 149maj : 0.5636092372372015diff : 1.0227706521193092E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 150maj : 0.563607948420654diff : 1.0098824866444644E-4 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 151maj : 0.563605716467074diff : 9.875629508449002E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 152maj : 0.5636043746718047diff : 9.74144998151516E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 153maj : 0.563601905260433diff : 9.494508844343219E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 154maj : 0.5636018925811288diff : 9.493240913927004E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 155maj : 0.5636005235520958diff : 9.356338010624299E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 156maj : 0.563597811764926diff : 9.085159293642509E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 157maj : 0.5635978030855547diff : 9.084291356520335E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 158maj : 0.5635963955364768diff : 8.943536448724476E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 159maj : 0.5635934094084253diff : 8.644923643574831E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 160maj : 0.5635919910979674diff : 8.503092597789141E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 161maj : 0.5635908288661506diff : 8.386869416110443E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 162maj : 0.5635887236927258diff : 8.176352073629989E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 163maj : 0.5635873107076697diff : 8.035053568011818E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 164maj : 0.5635837453998179diff : 7.678522782839092E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
Nmax : 165maj : 0.5635832900967598diff : 7.632992477024647E-5 min : 0.5635069601719895submax : {0=[[0.8807373046875, 0.880859375], [0.119140625, 0.1192626953125]]}
